component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.6612405612287243,0.6612405612287243
PC2,0.15457026914611258,0.8158108303748369
PC3,0.13171177621627927,0.9475226065911162
PC4,0.031887433179334235,0.9794100397704504
PC5,0.012783189181804796,0.9921932289522551
PC6,0.007806771047744592,0.9999999999999998
