country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality,predicted_life_expectancy_loo,residual_loo,absolute_residual_loo,prediction_band_low,prediction_band_high,position,cooks_distance,leverage,pc1,pc2,cluster_k2,cluster_k4,stable_all_specs
BOL,Bolivia,Latin America & Caribbean,Lower middle income,,11144.6415720641,468.504622088813,71.94895895,23.10584,,11014705.0,16.2,26.7,70.43792925269018,1.511029697309823,1.511029697309823,65.96953152763913,74.90632697774123,within,0.00031454285896891825,0.01074563109969907,0.45109060161172426,-0.5896144690532614,2,2,True
BRA,Brazil,Latin America & Caribbean,Upper middle income,,18357.0690617991,1320.48649469287,74.711289,21.678105,,201675532.0,15.2,16.0,74.02557049735998,0.6857185026400145,0.6857185026400145,69.55717277230892,78.49396822241104,within,9.9954904470673e-05,0.01658099044963276,-0.47439505483091515,-0.8393495465840977,1,2,True
BRN,Brunei Darussalam,East Asia & Pacific,High income,14.62773,81910.1882959493,1496.89287932291,76.55761257,27.06863,17.5,422212.0,15.9,10.7,79.72211354314581,-3.164500973145806,3.164500973145806,75.25371581809475,84.19051126819687,within,0.009662553917390283,0.07526265942486643,-1.5763971420180494,-1.059686776239751,1,1,True
BTN,Bhutan,South Asia,Lower middle income,,12400.2983237391,334.923831761654,73.07489389,8.3270825,3.39,740618.0,22.7,29.2,70.85322209293052,2.221671797069476,2.221671797069476,66.38482436787947,75.32161981798157,within,0.0015541051824374806,0.024559453680809428,0.7309762678395516,0.21649449114081598,2,3,True
BWA,Botswana,Sub-Saharan Africa,Upper middle income,,15994.9643042101,863.173293373375,62.04575871,15.852104,,2203273.0,22.1,46.7,73.4801432906322,-11.434384580632198,11.434384580632198,69.01174556558115,77.94854101568325,below,0.013080096743823884,0.007803392700184751,0.9990747752731247,-0.030745881417762112,2,2,True
CAN,Canada,North America,High income,15.8914,55660.8455840759,4773.7481512308,81.64860674,25.112811,,35704498.0,15.9,5.3,80.24148358351303,1.4071231564869748,1.4071231564869748,75.77308585846197,84.70988130856409,within,0.0007314347980392199,0.028814394299707946,-2.406090649615004,-1.0892634699631403,1,1,True
CHE,Switzerland,Europe & Central Asia,High income,16.19401,78325.7487417695,7166.58637587459,82.58994495,10.323732,41.96,8282396.0,25.6,4.3,83.19532651692577,-0.6053815669257716,0.6053815669257716,78.72692879187471,87.66372424197684,within,0.0002176415746787132,0.046321388620647816,-2.6675704751762654,-0.06924984763419219,1,1,True
CHL,Chile,Latin America & Caribbean,High income,16.36504,27817.9584848024,1875.54597367726,80.12508082,32.217586,21.38,18047625.0,32.9,7.9,77.33051276709995,2.794568052900047,2.794568052900047,72.86211504204888,81.79891049215101,within,0.002145344447033818,0.021427215999629795,-1.9765038763280416,0.6640861275363078,1,1,True
CHN,China,East Asia & Pacific,Upper middle income,,14857.1088234405,647.362591709039,76.5103545,5.3780992,17.97,1379860000.0,24.3,10.7,72.83690143559335,3.673453064406658,3.673453064406658,68.36850371054229,77.30529916064441,within,0.0034241599132133504,0.01979261354887824,-0.19125986727546354,0.33806117417409404,1,2,True
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,8.89246,5110.90021438908,141.792156353083,60.9342411,8.9025788,,25246342.0,10.8,85.5,65.40263882505106,-4.468397725051055,4.468397725051055,60.9342411,69.8710365501021,within,0.006299948059035773,0.024611122481633163,2.8246233558664464,-0.7159034322383993,2,4,False
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,12.15103,4698.66677843587,144.313662066752,58.9843954,12.567165,,22763414.0,8.2,88.5,64.92641028735194,-5.942014887351945,5.942014887351945,60.45801256230089,69.39480801240299,below,0.011080706922332472,0.024479249232218593,2.9478862366770366,-0.9914492644624938,2,4,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,,1433.21579814709,34.1012416388131,59.96244072,4.6812337,,81035531.0,14.3,91.9,58.5047588842244,1.4576818357755954,1.4576818357755954,54.036361159173346,62.973156609275456,within,0.001099680139248112,0.04036816370945344,4.001333459997058,0.004097635891076532,2,4,True
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,,8977.70681641417,110.763398855406,62.05475682,8.9605339,,5097581.0,13.8,52.7,67.44258951150049,-5.387832691500485,5.387832691500485,62.97419178644943,71.91098723655153,below,0.02746689080529005,0.07380391427595971,2.342409563174886,-0.47043536233843586,2,4,True
COL,Colombia,Latin America & Caribbean,Upper middle income,14.29211,16821.3801400631,999.680002005233,77.34484367,19.96593,18.81,46969940.0,9.9,15.5,72.73740678474348,4.607436885256519,4.607436885256519,68.26900905969242,77.20580450979455,above,0.0052967305082521786,0.019461987286258836,-0.37945128732185335,-1.3026277517692164,1,2,False
COM,Comoros,Sub-Saharan Africa,Lower middle income,,3370.5557232032,135.702311793372,67.42647275,12.091873,,726682.0,16.2,48.9,64.0842518291601,3.3422209208399067,3.3422209208399067,59.61585410410904,68.55264955421114,within,0.00240532360101976,0.016795823524775818,2.2018819053716148,-0.1678705100612288,2,4,True
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,13.14307,7560.13649202469,298.08394938776,74.82831017,12.224144,8.0,512394.0,13.3,19.2,68.08677993811712,6.7415302318828765,6.7415302318828765,63.61838221306606,72.55517766316817,above,0.00783888706006039,0.013453507694653893,0.7633373787034479,-0.6433188029034643,2,2,False
CRI,Costa Rica,Latin America & Caribbean,High income,15.23608,21265.3176336354,1343.15949943622,80.57423676,27.007493,18.06,4818038.0,10.5,9.0,73.99463091963766,6.579605840362348,6.579605840362348,69.52623319458661,78.4630286446887,above,0.012835275665829116,0.023126160885974086,-1.1969514905924754,-1.380569978747277,1,2,True
CYP,Cyprus,Europe & Central Asia,High income,14.57015,37258.5,2136.11670471907,81.80149333,21.73705,24.98,1219502.0,34.8,2.5,78.87424525002794,2.9272480799720597,2.9272480799720597,74.40584752497688,83.342642975079,within,0.0021229785667658285,0.019325228913424062,-2.5388117789927898,0.9498110132075929,1,1,True
CZE,Czechia,Europe & Central Asia,High income,16.86044,42066.5759800801,2489.06836173485,78.48257933,23.123886,,10546059.0,30.6,3.2,79.30100890818842,-0.8184295781884288,0.8184295781884288,74.83261118313737,83.76940663323947,within,0.00013237193121527232,0.015414568392766566,-2.2917902866522324,0.49821723595430295,1,1,True
DEU,Germany,Europe & Central Asia,High income,16.78934,59668.9890355282,5336.07266430052,80.4259243,20.57406,41.2,81686611.0,26.1,3.9,81.61763798757802,-1.1917136875780159,1.1917136875780159,77.14924026252697,86.08603571262907,within,0.00047563147874522723,0.02612310714939841,-2.6070510079033213,-0.05354872668032801,1,1,True
DNK,Denmark,Europe & Central Asia,High income,19.23701,62059.1285991721,5074.47458938183,80.59412958,12.952186,39.3,5683483.0,22.0,4.1,81.43368174425939,-0.8395521642593877,0.8395521642593877,76.96528401920833,85.90207946931045,within,0.00030408098843092503,0.03365053661897802,-2.342163006510273,-0.3679771862630229,1,1,True
