hypothesis,n,spearman_rho,p_value_raw,p_value_fdr_bh,reject_fdr_05
log_population,159,0.07877657033675663,0.323626946314016,0.970880838942048,False
physicians_density,158,-0.004601768296070169,0.9542390398077883,0.9981360098084363,False
expected_schooling,123,0.0002128180985670248,0.9981360098084363,0.9981360098084363,False
