k,silhouette,davies_bouldin,calinski_harabasz,inertia
2,0.42611534066143036,0.9210532569072225,158.44374499180495,474.8168330422629
3,0.3219325766450956,1.174604954970823,124.5022008845624,367.4626728744495
4,0.3322331192750001,1.1404076788158573,112.30853510831444,300.59423294773194
5,0.311803967268329,1.1481018647385202,104.63348738381623,256.60661716087594
6,0.3237475455443395,1.078565356251084,100.62512466985007,222.46044782540923
7,0.33664698897437756,0.970674562669082,100.10115776000757,192.67427793855845
8,0.3291530586384595,1.0271543445564153,94.29543709681751,177.61024895646827
