country_iso3,specification,residual,position,predictive_r_squared,rmse_years,stable_all_specs
AFG,main,-5.321835491279572,below,0.7159528927808063,4.02105072722721,False
ALB,main,4.943699723032864,above,0.7159528927808063,4.02105072722721,False
ARE,main,1.1131215391304892,within,0.7159528927808063,4.02105072722721,True
ARG,main,-0.6896319293957873,within,0.7159528927808063,4.02105072722721,True
ARM,main,0.8316801869274713,within,0.7159528927808063,4.02105072722721,True
AUS,main,2.1224206342468364,within,0.7159528927808063,4.02105072722721,True
AUT,main,-1.1580268293377003,within,0.7159528927808063,4.02105072722721,True
AZE,main,-0.07192954338343327,within,0.7159528927808063,4.02105072722721,True
BDI,main,4.955155747260065,above,0.7159528927808063,4.02105072722721,False
BEL,main,-0.6573637167943787,within,0.7159528927808063,4.02105072722721,True
BEN,main,0.5626581797149655,within,0.7159528927808063,4.02105072722721,True
BFA,main,-0.8713528906614556,within,0.7159528927808063,4.02105072722721,True
BGD,main,6.687841653105465,above,0.7159528927808063,4.02105072722721,True
BGR,main,-2.67414582082192,within,0.7159528927808063,4.02105072722721,True
BHR,main,-3.173846841327048,within,0.7159528927808063,4.02105072722721,True
BHS,main,-3.4682602756593326,within,0.7159528927808063,4.02105072722721,True
BIH,main,2.238372964893344,within,0.7159528927808063,4.02105072722721,True
BLR,main,-2.606189534296277,within,0.7159528927808063,4.02105072722721,False
BLZ,main,4.43375686899212,within,0.7159528927808063,4.02105072722721,True
BOL,main,1.511029697309823,within,0.7159528927808063,4.02105072722721,True
BRA,main,0.6857185026400145,within,0.7159528927808063,4.02105072722721,True
BRN,main,-3.164500973145806,within,0.7159528927808063,4.02105072722721,True
BTN,main,2.221671797069476,within,0.7159528927808063,4.02105072722721,True
BWA,main,-11.434384580632198,below,0.7159528927808063,4.02105072722721,True
CAN,main,1.4071231564869748,within,0.7159528927808063,4.02105072722721,True
CHE,main,-0.6053815669257716,within,0.7159528927808063,4.02105072722721,True
CHL,main,2.794568052900047,within,0.7159528927808063,4.02105072722721,True
CHN,main,3.673453064406658,within,0.7159528927808063,4.02105072722721,True
CIV,main,-4.468397725051055,within,0.7159528927808063,4.02105072722721,False
CMR,main,-5.942014887351945,below,0.7159528927808063,4.02105072722721,False
COD,main,1.4576818357755954,within,0.7159528927808063,4.02105072722721,True
COG,main,-5.387832691500485,below,0.7159528927808063,4.02105072722721,True
COL,main,4.607436885256519,above,0.7159528927808063,4.02105072722721,False
COM,main,3.3422209208399067,within,0.7159528927808063,4.02105072722721,True
CPV,main,6.7415302318828765,above,0.7159528927808063,4.02105072722721,False
CRI,main,6.579605840362348,above,0.7159528927808063,4.02105072722721,True
CYP,main,2.9272480799720597,within,0.7159528927808063,4.02105072722721,True
CZE,main,-0.8184295781884288,within,0.7159528927808063,4.02105072722721,True
DEU,main,-1.1917136875780159,within,0.7159528927808063,4.02105072722721,True
DNK,main,-0.8395521642593877,within,0.7159528927808063,4.02105072722721,True
DZA,main,2.96993662108909,within,0.7159528927808063,4.02105072722721,False
ECU,main,5.323411650104234,above,0.7159528927808063,4.02105072722721,False
EGY,main,-1.8031573198515218,within,0.7159528927808063,4.02105072722721,True
ESP,main,2.5276295999500036,within,0.7159528927808063,4.02105072722721,True
EST,main,-0.8863120303893766,within,0.7159528927808063,4.02105072722721,True
ETH,main,7.301749875362226,above,0.7159528927808063,4.02105072722721,False
FIN,main,0.4769504319720568,within,0.7159528927808063,4.02105072722721,True
FJI,main,-3.444101208366021,within,0.7159528927808063,4.02105072722721,True
FRA,main,0.43741020567189537,within,0.7159528927808063,4.02105072722721,True
GAB,main,-8.369497885307823,below,0.7159528927808063,4.02105072722721,False
GBR,main,0.7064099787950369,within,0.7159528927808063,4.02105072722721,True
GEO,main,-1.4167200399432431,within,0.7159528927808063,4.02105072722721,True
GHA,main,-1.7413534535339465,within,0.7159528927808063,4.02105072722721,True
GMB,main,2.3088655040276578,within,0.7159528927808063,4.02105072722721,True
GNB,main,-5.003859304054707,below,0.7159528927808063,4.02105072722721,False
