country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant,volume_band,access_target,paradox_quadrant,has_coverage_caveat
South Korea,KOR,2023,33.05834,12.817202,19.866327,0.022626135,0.35218117,38.7714671474905,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Kuwait,KWT,2023,32.78365,15.186844,17.26185,0.035743836,0.024268743,46.7162357354765,somente setor público reportado,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,True
Laos,LAO,2023,18.43857,15.326415,3.112154,0.0,0.0,83.12149928771588,escopo de classes antimicrobianas parcial,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,True
Lithuania,LTU,2023,19.376549,12.669623,6.200466,0.033253673,0.013228754,66.97631782214188,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__higher_access,False
Latvia,LVA,2023,15.249408,10.833309,4.1592903,0.03339642,0.022145713,71.99100997444752,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
Maldives,MDV,2023,29.78978,11.487341,18.150229,0.004919294,0.14728944,38.56135053090925,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Mali,MLI,2022,8.41913,3.831295,4.3840694,0.0,0.20376664,45.50701232463536,escopo de classes antimicrobianas parcial,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,True
Malta,MLT,2023,24.975723,13.936519,10.581994,0.071780205,0.25623405,56.09040996743511,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Montenegro,MNE,2023,31.84672,17.087551,14.444185,0.012146614,0.13250723,53.94412394895009,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Malaysia,MYS,2023,24.490599,11.408103,13.031174,0.0082983775,0.043023285,46.58156036613382,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,True
Norway,NOR,2023,12.059391,9.67786,2.223972,0.02494787,0.001616252,81.1329528380664,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
Nepal,NPL,2023,34.34172,8.730701,21.005857,0.0565412,3.4829164,26.237218737209627,nem todos os antibacterianos são reportados sistematicamente,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,True
Oman,OMN,2023,8.681876,5.427619,3.1122875,0.015776103,0.001173369,63.43006143565366,somente setor público reportado,Volume < mediana · Access < 70%,low,below_70,low_volume__higher_access,True
Peru,PER,2022,10.115588,6.4044404,3.6905546,0.020100322,0.000492491,63.31258764586438,,Volume < mediana · Access < 70%,low,below_70,low_volume__higher_access,False
Papua New Guinea,PNG,2023,13.117169,10.383667,2.7335024,0.0,0.0,79.16088207262155,somente setor público reportado,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,True
Poland,POL,2023,24.065334,14.504715,9.322536,0.028956475,0.11114604,60.51863419514467,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Portugal,PRT,2023,19.87725,12.463973,6.7281957,0.06701176,0.48998106,63.11140342529337,dados de antituberculosos incompletos,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,True
Palestine,PSE,2023,29.11556,13.793627,15.209061,0.0,0.112872094,47.37544788926292,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,True
Qatar,QAT,2023,11.902598,6.7574906,3.3342166,0.58952314,0.7632421,59.04588993007353,fontes nacionais incompletas,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,True
Romania,ROU,2023,29.610432,14.7901535,13.819945,0.061521254,0.05097976,51.493088196251065,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Russia,RUS,2023,17.453678,7.3521523,8.154845,0.17341383,0.49426395,45.45471401209748,,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,False
Rwanda,RWA,2022,8.681356,7.338051,1.324604,1.99e-06,0.0,84.70901027791936,somente setor público reportado,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,True
