feature,PC1,PC2,PC3,PC4,PC5,PC6
life_expectancy,-0.4635188754494535,-0.03264472045187052,-0.17993629091876623,0.747708912453693,0.4105996296905975,0.15507040940924363
under5_mortality,0.48076764891312074,-0.04470633835179933,0.17308194278565597,-0.15684426113341768,0.8055483283163478,0.25179003285975854
obesity_prevalence,-0.2589800300612777,-0.12449387206755592,0.953180302538774,0.08589595512923914,-0.037825651958376394,-0.008308769195099548
gdp_per_capita_ppp,-0.4762733982692868,-0.1690522139198237,-0.10256488426747695,-0.4228811758994154,0.40921188782515916,-0.6227219166831435
health_spending_ppp,-0.4787795978768763,-0.13270485715660868,-0.09970128393922806,-0.4671697963101607,-0.01756328944489277,0.7243363057338545
tobacco_prevalence,-0.1757151406338311,0.9670820602261583,0.09302140420408415,-0.10898182125801717,0.11535257528573234,0.006343698518808144
