country_iso3,country_name,cooks_distance,leverage,residual_loo
LSO,Lesotho,0.18346974043325756,0.04509115398875942,-17.81499056675154
SWZ,Eswatini,0.10333214565276712,0.0243788053888961,-18.182791634476125
TON,Tonga,0.07109960682551715,0.1762304245019678,5.609733171062118
SLE,Sierra Leone,0.06745716124946932,0.06788912872236667,-8.803653916877884
BGD,Bangladesh,0.04475500517748999,0.07804907223790812,6.687841653105465
GAB,Gabon,0.04090312449480218,0.045546580085602806,-8.369497885307823
KIR,Kiribati,0.03350248737625104,0.12626184302863508,-4.549372650222239
ETH,Ethiopia,0.02855739014594148,0.041779448989712,7.301749875362226
COG,"Congo, Rep.",0.02746689080529005,0.07380391427595971,-5.387832691500485
ZAF,South Africa,0.024462595756003333,0.017960500131012483,-10.307209533962173
JOR,Jordan,0.020828896866627405,0.03622357386222108,6.697096166834697
NGA,Nigeria,0.0194949542765131,0.04573379253234696,-5.766224543414843
QAT,Qatar,0.018618242022270984,0.06760006489763426,-4.634947591081797
PSE,West Bank and Gaza,0.01796712167949289,0.05029339003612795,5.278771312220243
BDI,Burundi,0.014896549955437027,0.04732266294800598,4.955155747260065
ZWE,Zimbabwe,0.014663379812594628,0.014957639345405706,-8.744491535708129
BWA,Botswana,0.013080096743823884,0.007803392700184751,-11.434384580632198
CRI,Costa Rica,0.012835275665829116,0.023126160885974086,6.579605840362348
AFG,Afghanistan,0.012456007405741302,0.03430473460067461,-5.321835491279572
GNB,Guinea-Bissau,0.011949148539481895,0.037224157492238306,-5.003859304054707
MOZ,Mozambique,0.01162807050896367,0.038423747455587264,-4.858509062605407
USA,United States,0.011520866779227286,0.058320533214426866,-3.9253725654034923
JPN,Japan,0.011491955028254138,0.05330368712890577,4.100788602752772
CMR,Cameroon,0.011080706922332472,0.024479249232218593,-5.942014887351945
RUS,Russian Federation,0.011058285972308126,0.021395779270998123,-6.3493446605695
BLZ,Belize,0.010695553790148657,0.0424382654109,4.43375686899212
BRN,Brunei Darussalam,0.009662553917390283,0.07526265942486643,-3.164500973145806
PER,Peru,0.00866772978095616,0.009332594345166687,8.511390882548639
TCD,Chad,0.007865551930042918,0.032496442654448385,-4.34505960968486
CPV,Cabo Verde,0.00783888706006039,0.013453507694653893,6.7415302318828765
KAZ,Kazakhstan,0.006971250050829364,0.039979984240409064,-3.6879333995986343
STP,Sao Tome and Principe,0.0069640611665147375,0.02234649281061494,4.930326164952888
RWA,Rwanda,0.006716160386960143,0.029405438286871574,4.22080948154958
ECU,Ecuador,0.0065650488264751726,0.018069908606416128,5.323411650104234
CIV,Cote d'Ivoire,0.006299948059035773,0.024611122481633163,-4.468397725051055
LKA,Sri Lanka,0.006267038149274299,0.02068857179199096,4.86088069923602
BHS,"Bahamas, The",0.006120133842361228,0.039685846985458,-3.4682602756593326
NPL,Nepal,0.005818791866206727,0.041646711920885704,3.301224812172066
LBN,Lebanon,0.0056678556668403116,0.03947210255982346,3.3466732265602985
COL,Colombia,0.0052967305082521786,0.019461987286258836,4.607436885256519
WSM,Samoa,0.005236380461856797,0.1218175350809399,1.8310902139450036
KOR,"Korea, Rep.",0.005074977708106561,0.037021515743716725,3.269934249082908
IRN,"Iran, Islamic Rep.",0.004753917378715383,0.019540891216448156,4.356148534472965
SEN,Senegal,0.004654171701168214,0.025890310461596778,3.7445671233032556
LTU,Lithuania,0.004609846482921343,0.019955295773793815,-4.2448582792058716
MMR,Myanmar,0.004538094762320264,0.07496069509275011,-2.1730465324602335
KWT,Kuwait,0.004497001393872254,0.046423361447788525,2.748794464887837
MRT,Mauritania,0.004443561449063806,0.026266949042301126,3.632535170499267
ZMB,Zambia,0.004080440167556019,0.018074984165366504,-4.196271629134451
FJI,Fiji,0.0040257356531787246,0.026472291752385378,-3.444101208366021
THA,Thailand,0.0034777388421670034,0.019173232323815598,3.761402978337344
BHR,Bahrain,0.003446896732472941,0.026690360424280503,-3.173846841327048
CHN,China,0.0034241599132133504,0.01979261354887824,3.673453064406658
LCA,St. Lucia,0.0031332470321605048,0.02257840760518727,3.2900288969355955
OMN,Oman,0.002967462095431771,0.033242967713941564,-2.6387104968876542
PAN,Panama,0.0028163459757378257,0.033739864170992874,2.5516457836508692
SAU,Saudi Arabia,0.0028006493043056815,0.03309425790944012,-2.56922470836237
LVA,Latvia,0.002794186116925583,0.024674090696292835,-2.972050163521871
PRY,Paraguay,0.0027310229673940156,0.02066908705546135,3.2103403511193846
VNM,Viet Nam,0.002729597979304601,0.025748054117781298,2.8755848432378315
SLV,El Salvador,0.002721325597533424,0.03012263095806903,2.6545618662322426
BGR,Bulgaria,0.0025896765930465866,0.028247073318324434,-2.67414582082192
MAR,Morocco,0.0025440308449413995,0.010990173950224162,4.249207619641069
NZL,New Zealand,0.0025098404554843566,0.027029539352598074,2.6912421990131463
COM,Comoros,0.00240532360101976,0.016795823524775818,3.3422209208399067
MNG,Mongolia,0.0023888749655304616,0.01860897538190074,-3.164350100817387
LUX,Luxembourg,0.0023424907103984376,0.0424172026395571,-2.075472460806097
ALB,Albania,0.00226506054660467,0.007228925420065565,4.943699723032864
TZA,Tanzania,0.002224767152445321,0.027402755069232374,2.5164842459495773
TUN,Tunisia,0.0022173229887711894,0.009089868602404915,4.361990603068847
GUY,Guyana,0.0021858700570626635,0.011918929642545557,-3.78218345855133
CHL,Chile,0.002145344447033818,0.021427215999629795,2.794568052900047
CYP,Cyprus,0.0021229785667658285,0.019325228913424062,2.9272480799720597
BIH,Bosnia and Herzegovina,0.0020805268941273447,0.03238967032155733,2.238372964893344
TKM,Turkmenistan,0.0020570674999750146,0.024146697757782623,-2.5777716721467385
KGZ,Kyrgyz Republic,0.0020266141126207217,0.012682087509246619,3.5305243160624826
GMB,"Gambia, The",0.002021263241105089,0.029574928587164494,2.3088655040276578
ISR,Israel,0.001707898546768897,0.013224127171454625,3.1739243739054075
AUS,Australia,0.001706518845313473,0.029549236716810295,2.1224206342468364
ITA,Italy,0.0016784825822365153,0.021214280127968395,2.4842386729205543
ESP,Spain,0.0016239605609969271,0.01982652992095143,2.5276295999500036
LBR,Liberia,0.0016110582071953775,0.07244358302872698,-1.3170574013027192
BTN,Bhutan,0.0015541051824374806,0.024559453680809428,2.221671797069476
BLR,Belarus,0.0015353133206745825,0.01763125075239811,-2.606189534296277
EGY,"Egypt, Arab Rep.",0.0014236353283931377,0.034153059544344305,-1.8031573198515218
MDG,Madagascar,0.001403717343024131,0.04514765620195558,1.5572963894765621
HND,Honduras,0.001383109372040139,0.024435775979664648,2.101184764267046
ISL,Iceland,0.0012769230083932,0.027514428625237453,1.9026160474277987
MLI,Mali,0.0012699589204704553,0.027791272983969675,-1.8879464202852176
JAM,Jamaica,0.0012555753319973485,0.021763370694207747,2.121325712620603
HUN,Hungary,0.0011927554689053037,0.016741122421304235,-2.357395611015278
PRT,Portugal,0.001155059279324206,0.017054208572915727,2.298451796832211
GRC,Greece,0.0011266187294384788,0.02241253869951048,1.9801222585088851
GHA,Ghana,0.001106783393384419,0.02846996072568131,-1.7413534535339465
COD,"Congo, Dem. Rep.",0.001099680139248112,0.04036816370945344,1.4576818357755954
UGA,Uganda,0.00104124247697216,0.02820058701560754,1.6970549800156078
TLS,Timor-Leste,0.0010161393174577813,0.07576659424480847,-1.0227907542430899
LAO,Lao PDR,0.0009596041070753875,0.045652391021945106,-1.2804520898984748
MLT,Malta,0.0008827171059235527,0.01886167449513313,1.9105996637575657
SVN,Slovenia,0.0008747568793653555,0.017449503857750424,1.9774303258453472
KHM,Cambodia,0.0008694865694414172,0.021946068798836215,1.7579321925829845
SYC,Seychelles,0.000868384984689896,0.0174601518901501,-1.9696143171590137
VUT,Vanuatu,0.0008465229618553402,0.020845910495421692,1.779745836050779
ROU,Romania,0.0008435157044775531,0.02175750458637439,-1.7389660084652547
