exposure,outcome,n,spearman_rho,p_value_raw,p_value_fdr_bh,reject_fdr_05
total_ddd_per_1000_day,life_expectancy,72,0.05000321564087723,0.6765857056842034,0.9937964363837396,False
total_ddd_per_1000_day,under5_mortality,72,-0.005434957413942276,0.96385994107958,0.9937964363837396,False
total_ddd_per_1000_day,gdp_per_capita_ppp,73,-0.12717512032580527,0.28363416586978685,0.9937964363837396,False
total_ddd_per_1000_day,health_spending_ppp,72,-0.033764229210881735,0.7782769932696401,0.9937964363837396,False
access_share_pct,life_expectancy,72,-0.0019936973438806358,0.9867389549938818,0.9937964363837396,False
access_share_pct,under5_mortality,72,-0.0009326258284279645,0.9937964363837396,0.9937964363837396,False
access_share_pct,gdp_per_capita_ppp,73,0.08623349376774035,0.4681971490227454,0.9937964363837396,False
access_share_pct,health_spending_ppp,72,0.09688725963084446,0.41815014481611573,0.9937964363837396,False
