region,n,bias_years,mae_years,rmse_years,below_share
Sub-Saharan Africa,39.0,-2.146248772968329,4.739407214686927,6.30921740983912,0.3076923076923077
North America,2.0,-1.2591247044582587,2.6662478609452336,2.9486052088016343,0.0
Europe & Central Asia,47.0,-0.3172917563230554,1.6419582721452926,2.1239798410158244,0.02127659574468085
East Asia & Pacific,24.0,0.6416206499799882,2.3269762072524895,2.727831012447376,0.041666666666666664
"Middle East, North Africa, Afghanistan & Pakistan",20.0,1.0205655427635463,3.0698237613668127,3.5241336205300997,0.1
Latin America & Caribbean,21.0,2.133306875052188,3.022423844666923,3.6130017963716807,0.0
South Asia,6.0,3.292091231028332,3.292091231028332,3.8270915011325597,0.0
