k,iteration,adjusted_rand_index,mean_ari,median_ari,p05_ari
2,1,0.9010598427989034,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,2,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,3,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,4,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,5,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,6,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,7,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,8,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,9,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,10,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,11,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,12,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,13,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,14,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,15,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,16,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,17,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,18,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,19,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,20,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,21,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,22,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,23,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,24,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,25,0.9012139097074265,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,26,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,27,0.9748130009637022,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,28,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,29,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,30,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,31,0.9254209977892521,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,32,0.9748130009637022,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,33,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,34,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,35,0.762754246205497,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,36,0.9499536848574113,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,37,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,38,0.974803187154244,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,39,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,40,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,41,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,42,0.9010598427989034,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,43,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,44,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,45,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,46,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,47,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,48,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,49,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,50,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,51,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,52,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,53,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,54,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,55,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,56,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,57,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,58,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,59,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,60,0.974803187154244,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,61,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,62,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,63,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,64,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,65,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,66,0.9748130009637022,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,67,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,68,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,69,0.925333783270301,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,70,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,71,0.9499146766845593,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,72,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,73,1.0,0.9593217950785529,0.9499341807709853,0.9120678528107201
2,74,0.9748130009637022,0.9593217950785529,0.9499341807709853,0.9120678528107201
