country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
Belarus,BLR,2017,20.694439,12.532833,7.363926,0.06800523,0.1568279,62.28549370759957,,
Belarus,BLR,2018,20.12279,11.750921,6.877842,0.12520611,0.33349267,61.56356007645141,,
Belarus,BLR,2019,22.954067,15.251224,7.0430584,0.07417589,0.26658514,67.37881483269591,,
Belarus,BLR,2020,26.793983,12.177925,13.48094,0.09816399,0.17737967,46.95663263293392,,
Belarus,BLR,2021,20.112171,12.986004,6.544652,0.09125982,0.08216809,65.90513956048211,,
Belarus,BLR,2022,16.910587,11.475963,5.055476,0.0817809,0.15958595,68.4200550738504,,
Belarus,BLR,2023,20.836798,13.734569,6.4594555,0.07015547,0.1573357,67.2553850651576,,Volume ≥ mediana · Access < 70%
Brunei,BRN,2023,9.300538,6.491376,2.7610164,0.01939633,0.028749427,69.7957031133118,,Volume < mediana · Access < 70%
Bhutan,BTN,2019,11.781961,10.350763,1.4304688,0.000729681,0.0,87.85262977384538,escopo de classes antimicrobianas parcial,
Bhutan,BTN,2020,9.470717,8.315031,1.1552196,0.000466725,0.0,87.79726724659686,escopo de classes antimicrobianas parcial,
Bhutan,BTN,2021,9.575982,8.311868,1.2639451,0.000169144,0.0,86.79911666720088,escopo de classes antimicrobianas parcial,
Bhutan,BTN,2022,12.769004,11.463473,1.304316,0.001213836,0.0,89.77578865971206,escopo de classes antimicrobianas parcial,
Bhutan,BTN,2023,12.154963,10.751103,1.4022789,0.00158032,0.0,88.45032016890958,escopo de classes antimicrobianas parcial,Volume < mediana · Access ≥ 70%
Canada,CAN,2022,14.790743,10.828458,3.423444,0.031483997,0.5073565,73.21105077852806,,
Canada,CAN,2023,14.526112,10.53933,3.357915,0.03265691,0.4749224,73.16527972287362,,Volume < mediana · Access ≥ 70%
Switzerland,CHE,2016,11.225319,6.59906,4.282894,0.039719768,0.3036451,58.787283262054416,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2017,11.076829,6.4492836,4.0486846,0.041201815,0.2882223,59.56451389560647,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2018,11.1987095,6.7255855,3.9353213,0.043905508,0.25500542,61.36585175880766,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2019,11.053483,6.7880144,3.7584867,0.04036019,0.23907271,62.70142049637472,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2020,9.439211,5.8951454,3.0950491,0.037223373,0.20254298,63.86966850551603,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2021,9.029414,5.770513,2.8153317,0.037065066,0.19617741,65.43208934030838,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2022,10.604289,6.96023,3.2416332,0.038857877,0.18144615,66.7829430137007,escopo de classes antimicrobianas parcial,
Switzerland,CHE,2023,11.360331,7.565234,3.3888886,0.036801443,0.17567451,67.74877742844563,escopo de classes antimicrobianas parcial,Volume < mediana · Access < 70%
Cote d'Ivoire,CIV,2021,16.531649,13.341619,3.0757008,0.0,0.114329435,80.70349673131085,escopo de classes antimicrobianas parcial,
Cote d'Ivoire,CIV,2022,19.666136,16.136654,3.4137838,0.0,0.11569692,82.05300243158304,escopo de classes antimicrobianas parcial,
Cote d'Ivoire,CIV,2023,10.147002,7.5983872,2.4437344,0.0,0.104880884,74.88307223715863,escopo de classes antimicrobianas parcial,Volume < mediana · Access ≥ 70%
Colombia,COL,2018,22.265644,15.161395,7.069426,0.023126071,0.01169566,68.09322858167978,,
Colombia,COL,2019,19.812557,14.814712,4.9544983,0.029259268,0.014089219,74.77434974083542,,
Colombia,COL,2020,22.304657,15.216097,7.044262,0.029943965,0.014353923,68.21937264673335,,
Colombia,COL,2021,26.115873,17.316914,8.725032,0.040288407,0.03363802,66.30800502033712,,
Colombia,COL,2022,18.429092,12.340878,5.9637794,0.04095069,0.037761215,67.13066465266228,,
Colombia,COL,2023,22.732248,16.308874,6.250679,0.068259835,0.053257804,71.90522114047369,,Volume ≥ mediana · Access ≥ 70%
Cyprus,CYP,2016,28.96844,13.765926,14.764565,0.0125044845,0.27724046,47.76479285773184,,
Cyprus,CYP,2017,29.49558,14.41594,14.643715,0.018546768,0.22780672,49.19107290200551,,
Cyprus,CYP,2018,28.214714,13.643956,14.043642,0.025151521,0.32843027,48.65685431815931,,
Cyprus,CYP,2019,30.565535,14.876722,15.157173,0.036711372,0.31753758,48.95567831815831,,
Cyprus,CYP,2020,29.568851,13.040429,16.149384,0.04198379,0.18555632,44.32903582874388,,
Cyprus,CYP,2021,25.782444,12.407171,12.6809845,0.090365976,0.4161373,48.47562574904945,,
Cyprus,CYP,2022,34.136124,18.918678,15.049097,0.10873415,0.054958843,55.428843564185456,,Volume ≥ mediana · Access < 70%
Czechia,CZE,2019,17.537502,10.706749,6.632247,0.028924018,0.01632499,61.58880638804213,,
Czechia,CZE,2020,14.043354,8.736549,5.128141,0.032429237,0.015396299,62.796328797573096,,
Czechia,CZE,2022,17.454245,10.398841,6.8523974,0.04345023,0.018516209,60.06306225047025,,
Czechia,CZE,2023,19.05375,11.629465,7.207909,0.048534647,0.028242659,61.485523785097705,,Volume ≥ mediana · Access < 70%
