country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,13425.9119599492,581.864496371668,70.05641038,39.606917,7.63,99597342.0,22.6,26.5
ESP,Spain,Europe & Central Asia,High income,17.47447,43053.761430314,3233.04254906521,82.32940416,19.09956,38.26,46422303.0,30.0,3.3
EST,Estonia,Europe & Central Asia,High income,16.11494,36353.0580520449,1938.98623101845,77.63428878,20.852143,34.17,1315407.0,32.6,3.2
ETH,Ethiopia,Sub-Saharan Africa,Low income,,1957.41454184551,62.4177160410784,67.10395358,1.7359033,,103867135.0,5.5,64.4
FIN,Finland,Europe & Central Asia,High income,19.31862,52782.4873926277,4099.9675611187,81.19884704,20.42466,26.98,5479531.0,26.8,2.5
FJI,Fiji,East Asia & Pacific,Upper middle income,,11674.0633676202,390.106130344108,67.8018416,31.667289,8.13,918578.0,28.7,20.9
FRA,France,Europe & Central Asia,High income,15.4227,50682.8953586333,4711.86798705055,81.90513823,12.536877,31.84,66548272.0,33.7,4.2
GAB,Gabon,Sub-Saharan Africa,Upper middle income,,20147.7116201795,380.1839701867,64.00078432,17.147513,,2040989.0,13.3,44.4
GBR,United Kingdom,Europe & Central Asia,High income,17.32866,50462.8329992477,4225.91644790382,80.65863594,25.606212,27.67,65087000.0,19.2,4.5
GEO,Georgia,Europe & Central Asia,Upper middle income,14.46464,14936.8434116647,1043.96680383389,72.85013916,29.186729,53.13,3725276.0,33.6,10.6
GHA,Ghana,Sub-Saharan Africa,Lower middle income,11.5566,5607.36635657413,235.842765374433,64.33720534,10.941679,1.14,28696068.0,4.5,52.5
GMB,"Gambia, The",Sub-Saharan Africa,Low income,,2495.95741601525,63.2149503666416,63.79523685,8.5227117,0.96,2224529.0,13.9,58.9
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,,2230.52993109779,140.683848350167,57.5801364,8.6569585,1.98,1786457.0,11.0,91.6
GRC,Greece,Europe & Central Asia,High income,,31347.976574604,2192.77755589205,80.41608244,25.214282,59.02,10820883.0,36.7,4.3
GTM,Guatemala,Latin America & Caribbean,Upper middle income,10.75268,10785.9583125957,536.578179396124,72.0454314,21.573517,,15971743.0,12.2,28.1
GUY,Guyana,Latin America & Caribbean,High income,,12040.08253302,458.922703832091,66.95276619,23.467669,,758781.0,16.3,33.3
HND,Honduras,Latin America & Caribbean,Lower middle income,9.88421,5812.5348879105,362.634075316857,69.52898147,25.14267,,9237305.0,13.6,20.3
HRV,Croatia,Europe & Central Asia,High income,15.22484,29466.4506365792,1569.18138814489,77.60709528,25.067911,32.1,4151725.0,34.6,4.9
HTI,Haiti,Latin America & Caribbean,Lower middle income,,3402.0283988016,153.396223389899,62.5149437,8.6905643,0.87,10523242.0,9.0,69.1
HUN,Hungary,Europe & Central Asia,High income,15.2196,31485.5675425634,1842.37776890944,75.5700037,26.965424,30.98,9797755.0,33.3,5.1
IDN,Indonesia,East Asia & Pacific,Upper middle income,13.33804,10893.6621142169,293.233792506128,70.53899644,6.7955256,2.7,261799249.0,32.0,26.1
IND,India,South Asia,Lower middle income,11.94596,6301.67346968236,195.065786039975,69.3779891,4.8691355,7.23,1328024498.0,31.6,43.7
IRL,Ireland,Europe & Central Asia,High income,18.70903,80815.6415277345,5094.93823964345,81.13790588,25.680992,31.19,4701957.0,23.4,3.7
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,14841.9048340737,1147.52076688832,77.27827213,21.504161,10.95,82619362.0,14.8,15.5
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,13516.0271989173,313.40838756544,71.00605468,36.186728,7.18,37560535.0,20.8,29.3
ISL,Iceland,Europe & Central Asia,High income,19.3477,61820.3618857662,4000.06947783979,82.12605142,19.651191,37.73,330815.0,14.4,2.6
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,16.17113,40889.5989080834,2620.64548850889,81.91113219,22.663184,34.31,8380100.0,24.1,3.9
ITA,Italy,Europe & Central Asia,High income,16.03337,47311.8255262709,3304.28620719502,82.20433624,15.456682,38.48,60229605.0,23.7,3.5
JAM,Jamaica,Latin America & Caribbean,Upper middle income,12.33967,9931.89875715182,594.375336798722,72.28943851,28.609893,4.28,2802534.0,13.6,18.7
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,10469.6306302225,669.035209462499,78.50941007,36.493459,27.26,9544729.0,33.2,16.5
JPN,Japan,East Asia & Pacific,High income,,44589.3032854003,4392.67629747452,83.99957263,4.2680137,,127141000.0,22.3,2.8
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,15.11816,30893.7594851041,683.639620397393,71.97923102,17.495191,37.26,18084169.0,25.6,11.9
KEN,Kenya,Sub-Saharan Africa,Lower middle income,,4679.62182831938,175.250024188806,64.29968929,8.3567381,,47088526.0,12.6,46.8
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,12.96703,5600.2143342846,298.825105142561,71.54340028,16.072299,18.46,6040036.0,25.7,22.3
KHM,Cambodia,East Asia & Pacific,Lower middle income,,4968.57276699143,201.242490733866,68.66739766,2.7725359,1.5,15623251.0,24.0,29.6
KIR,Kiribati,East Asia & Pacific,Lower middle income,,2616.17635911711,166.737065407313,61.68537375,43.749416,,116815.0,47.1,58.6
KOR,"Korea, Rep.",East Asia & Pacific,High income,16.6031,44849.106767089,2573.42287690324,82.40187033,4.8409957,22.42,51014947.0,23.6,3.5
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,14.69398,57763.5174574395,1908.05147125182,81.44722022,40.770072,26.47,3834574.0,19.6,9.1
LAO,Lao PDR,East Asia & Pacific,Lower middle income,11.22174,6703.74124348885,149.331132502307,66.87363139,5.6516308,4.0,6801645.0,32.7,44.4
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,14980.020515614,1264.11017471595,78.43741249,28.022563,21.23,6472469.0,41.4,12.9
LBR,Liberia,Sub-Saharan Africa,Low income,,1714.09047960464,170.118354189997,60.37754989,9.7562037,0.36,4659431.0,8.3,93.2
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,12195.3486990421,1039.53068417024,72.65332031,32.220063,18.61,6531819.0,27.4,13.3
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,13.89519,20939.8810312364,657.236944482248,76.39243252,28.198957,,174905.0,15.7,18.7
LKA,Sri Lanka,South Asia,Upper middle income,,13329.779343882,434.534712526724,76.44590803,6.9951013,8.3,20970000.0,23.1,8.7
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,11.81651,2986.95866729879,283.111392694117,48.83813559,17.735034,,2104611.0,27.1,75.1
LTU,Lithuania,Europe & Central Asia,High income,16.44508,35264.7149248316,1858.08305816395,74.36612877,22.044916,43.38,2911109.0,35.4,5.0
LUX,Luxembourg,Europe & Central Asia,High income,14.06477,130097.338289025,5546.68241910198,82.3849065,18.297787,29.08,569604.0,25.6,2.5
LVA,Latvia,Europe & Central Asia,High income,15.8314,30599.6133134147,1405.77567653213,74.8108617,21.872352,31.97,1977527.0,37.8,5.1
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,8198.80859375,403.686473721367,73.26259745,18.154462,,34607588.0,14.8,23.1
MDA,Moldova,Europe & Central Asia,Upper middle income,11.63386,11691.0797484184,623.654913006427,71.14655162,23.362757,35.65,2835978.0,26.5,15.6
MDG,Madagascar,Sub-Saharan Africa,Low income,10.56871,1627.5806134224,74.9242056417763,63.35879155,2.7195975,,25426702.0,32.1,65.3
MDV,Maldives,South Asia,Upper middle income,,18829.4481529112,1552.10542612148,77.25297582,12.542237,,428154.0,30.4,9.9
MEX,Mexico,Latin America & Caribbean,Upper middle income,14.19681,21408.9283216195,1054.36766735618,75.93967708,31.473061,23.4,121072306.0,17.6,16.6
MKD,North Macedonia,Europe & Central Asia,Upper middle income,13.32862,19215.0740381192,921.047465171462,75.34082067,23.608172,30.17,1912430.0,39.9,11.1
MLI,Mali,Sub-Saharan Africa,Low income,7.34784,2686.56065073799,80.5693365319561,60.12125985,8.6353749,0.94,18593022.0,10.1,109.7
